subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"1",Chrome,121.0.0.0,1536,864,Windows,pl-PL,2024-02-08_20:18:43,2024-02-08_21:18:43,2024-02-06_12:52:09,M274673,TYDHDD-01,https://www.testable.org/experiment/15243/448606/start?participant=M274673&batch_id=TYDHDD-01,0.84,425.09

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"4",form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>1) Premise: A person on a horse jumps over a broken down airplane. Hypothesis:  A person on a horse crashes into an intact airplane.</p><b/>",404412,lexical contradiction,344780,"1"
4_2,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>2) Premise: Children smiling and waving at camera Hypothesis:  Children are crying and turning away from the camera.</p><b/>",404412,lexical contradiction,344780,"1"
4_3,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>3) Premise: A boy is jumping on a skateboard in the middle of a red bridge. Hypothesis:  The boy is sitting still with his skateboard at the edge of the bridge.</p><b/>",404412,lexical contradiction,344780,"1"
4_4,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>4) ""Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background. Hypothesis:  The elderly man stands without any drink on a large platform in a coffee shop, ignored by the staff dressed in dull uniforms.""</p><b/>",404412,other contradiction,344780,"2"
4_5,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>5) Premise: Two blond women are hugging one another. Hypothesis:  The two blond women are keeping distance from each other.</p><b/>",404412,lexical contradiction,344780,"1"
4_6,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>6) ""Premise: A few people in a restaurant setting, one of them is drinking orange juice. Hypothesis:  None of the people at the restaurant are consuming any beverages.""</p><b/>",404412,other contradiction,344780,"2"
4_7,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical1#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>7) Premise: An older man is drinking orange juice at a restaurant. Hypothesis:  The old man is munching on a burger in the same eatery.</p><b/>",404412,other contradiction,344780,"2"
